provider_ccn,severity,domain,title,detail,metric
465192,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465192,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465124,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465124,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465124,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465124,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465124,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465124,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465124,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465124,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465124,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465124,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465157,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465157,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465157,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465157,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465157,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465157,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465157,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465157,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465157,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465157,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465185,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465185,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465185,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465185,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465185,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465185,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465185,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465185,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465185,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465185,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465185,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465088,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465088,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465088,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465088,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465175,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465175,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465175,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465175,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465086,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465086,Watch,Utilization,Average daily census is small versus peers,"Average daily census is less than roughly 75% of the peer median, which can raise fixed cost per day.",average_daily_census
465086,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465086,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465086,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465165,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465165,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465165,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465165,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465109,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465109,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465109,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465109,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465109,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465109,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465109,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465109,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465085,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465085,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465085,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465085,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465129,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465129,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465129,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465129,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465155,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465155,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465155,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465188,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465188,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465188,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465188,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465188,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465188,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465188,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465188,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465188,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465188,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465188,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465098,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465098,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465098,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465098,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465098,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465098,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465160,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465160,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465160,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465160,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465119,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465119,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465119,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465119,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465119,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465119,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465119,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465119,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465067,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465067,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465067,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465067,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465067,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465067,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465067,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465067,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465067,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465067,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465125,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465125,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465125,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465125,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465125,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465125,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465125,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465116,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465116,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465116,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465116,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465168,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465168,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465168,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465075,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465075,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465075,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465075,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465075,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465075,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465075,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465075,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465075,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465075,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465147,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465147,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465147,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465147,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465147,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465147,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465147,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465147,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465147,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465147,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465089,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465089,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465089,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465089,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465089,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465089,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465089,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465089,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465089,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465089,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465064,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465064,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465064,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465064,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465064,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465064,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465064,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465064,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465064,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465064,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465097,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465097,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465097,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465097,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465156,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465156,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465156,Watch,Utilization,Average daily census is small versus peers,"Average daily census is less than roughly 75% of the peer median, which can raise fixed cost per day.",average_daily_census
465156,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465156,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465156,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465093,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465093,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465093,Watch,Utilization,Average daily census is small versus peers,"Average daily census is less than roughly 75% of the peer median, which can raise fixed cost per day.",average_daily_census
465093,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465093,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465093,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465096,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465096,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465096,Watch,Utilization,Average daily census is small versus peers,"Average daily census is less than roughly 75% of the peer median, which can raise fixed cost per day.",average_daily_census
465096,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465096,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465096,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465074,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465074,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465074,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465074,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465074,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465074,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465074,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465074,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465094,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465094,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465094,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465094,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465094,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465094,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465094,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465107,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465107,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465107,Watch,Utilization,Average daily census is small versus peers,"Average daily census is less than roughly 75% of the peer median, which can raise fixed cost per day.",average_daily_census
465107,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465107,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465107,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465163,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465163,Watch,Utilization,Average daily census is small versus peers,"Average daily census is less than roughly 75% of the peer median, which can raise fixed cost per day.",average_daily_census
465163,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465163,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465163,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465020,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465020,Watch,Utilization,Average daily census is small versus peers,"Average daily census is less than roughly 75% of the peer median, which can raise fixed cost per day.",average_daily_census
465020,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465020,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465020,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465059,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
465059,Watch,Utilization,Average daily census is small versus peers,"Average daily census is less than roughly 75% of the peer median, which can raise fixed cost per day.",average_daily_census
465059,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465059,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465059,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465146,Watch,Payer mix,Medicare skilled mix is below peers,Medicare day share is at least three percentage points below the peer median; referral capture may deserve review.,medicare_day_share
465146,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465146,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465066,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465066,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465066,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465066,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465066,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465066,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465066,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465144,Watch,Utilization,Occupancy has declined,Occupancy is down more than five percentage points from roughly three years earlier.,occupancy_rate
465144,Strength,Utilization,Occupancy leads peers,Latest occupancy is more than five percentage points above the peer median.,occupancy_rate
465144,Strength,Payer mix,Medicare skilled mix leads peers,Medicare day share is at least three percentage points above the peer median.,medicare_day_share
465144,Watch,Payer mix,Medicaid dependence is higher than peers,Medicaid day share is more than five percentage points above the peer median.,medicaid_day_share
465144,Strength,Revenue,Revenue per day is above peers,Net patient revenue per resident day is above the peer median.,net_patient_revenue_per_day
465144,Watch,Cost,Operating expense is high,Operating expense per resident day is above the peer 75th percentile.,operating_expense_per_day
465144,Strength,Margin,Margin leads peers,Patient service margin is at least three percentage points above the peer median.,patient_service_margin
465144,Watch,Labor,Contract labor reliance is elevated,Contract labor ratio is above the peer 75th percentile or above 10%.,contract_labor_ratio
465144,Watch,Labor,Total labor cost per day is high,"Combined salary, wage-related, and contract labor cost per resident day is above the peer 75th percentile.",total_labor_cost_per_day
465144,Watch,Labor,Labor share of expense is high,Broad labor cost share of operating expense is above the peer 75th percentile.,labor_cost_share_of_operating_expense
465144,Risk,Liquidity,Liquidity appears thin,Days cash on hand is below the peer 25th percentile or below 30 days.,days_cash_on_hand
465162,Risk,Utilization,Occupancy trails peers,Latest occupancy is more than five percentage points below the peer median.,occupancy_rate
